id,t,u,v,w,x,ts_in,ts_out
522,0.697,0.883,0.106,0.368,0.136,791,896
523,0.674,0.247,0.152,0.021,0.078,977,1792
524,0.757,0.733,0.106,0.292,0.771,883,950
525,0.771,0.703,0.182,0.441,0.812,996,1730
526,0.678,0.231,0.136,0.091,0.081,521,1158
527,0.667,0.256,0.106,0.0,0.057,642,973
528,0.762,0.053,0.167,0.043,0.559,483,1777
529,0.756,0.125,0.152,0.043,0.618,57,1719
530,0.717,0.114,0.076,0.0,0.458,154,617
531,0.722,0.967,0.197,0.122,0.388,652,769
532,0.739,0.3,0.333,0.03,0.559,741,1439
533,0.757,0.656,0.106,0.251,0.769,353,1894
534,0.776,0.647,0.212,0.457,0.833,342,1298
535,0.73,0.089,0.227,0.279,0.36,664,1959
536,0.76,0.05,0.03,0.347,0.608,901,1611
537,0.733,0.031,0.106,0.262,0.372,791,899
538,0.724,0.131,0.152,0.323,0.318,18,1032
539,0.715,0.172,0.076,0.392,0.259,989,1791
540,0.7,0.211,0.136,0.31,0.158,249,1523
541,0.778,0.661,0.136,0.424,0.838,884,1957
542,0.7,0.458,0.045,0.279,0.128,918,1061
543,0.708,0.219,0.091,0.193,0.19,411,490
544,0.688,0.228,0.121,0.275,0.085,977,1216
545,0.685,0.128,0.212,0.228,0.073,67,1832
546,0.777,0.7,0.182,0.396,0.835,55,104
547,0.74,0.078,0.121,0.319,0.392,852,1943
548,0.728,0.175,0.121,0.328,0.316,202,1549
549,0.682,0.261,0.288,0.185,0.064,648,1686
550,0.671,0.422,0.152,0.13,0.039,530,1187
551,0.729,0.233,0.152,0.31,0.316,801,1907
552,0.758,0.578,0.227,0.215,0.791,449,1834
553,0.736,0.197,0.212,0.349,0.333,944,1181
554,0.697,0.497,0.167,0.15,0.131,27,1515
555,0.781,0.183,0.288,0.24,0.531,943,1571
556,0.776,0.172,0.212,0.259,0.539,556,866
557,0.762,0.442,0.106,0.204,0.687,785,847
558,0.759,0.361,0.121,0.107,0.654,579,965
559,0.739,0.297,0.167,0.328,0.338,384,1459
560,0.764,0.339,0.212,0.271,0.721,83,402
561,0.673,0.092,0.212,0.24,0.021,7,1144
562,0.762,0.125,0.121,0.219,0.647,495,1814
563,0.727,0.122,0.258,0.122,0.267,635,1066
564,0.797,0.144,0.136,0.03,0.436,352,1415
565,0.76,0.15,0.242,0.203,0.503,75,1452
566,0.743,0.081,0.303,0.068,0.473,799,1594
567,0.742,0.356,0.121,0.323,0.385,163,517
568,0.764,0.978,0.212,0.122,0.604,80,1640
569,0.783,0.069,0.182,0.404,0.541,471,971
570,0.782,0.136,0.212,0.452,0.553,563,917
571,0.742,0.536,0.091,0.279,0.403,562,1035
572,0.772,0.433,0.091,0.375,0.777,767,1368
573,0.763,0.175,0.182,0.232,0.5,12,868
574,0.679,0.019,0.273,0.122,0.064,61,1404
575,0.769,0.333,0.136,0.261,0.757,143,1960
576,0.709,0.258,0.076,0.198,0.231,181,921
577,0.707,0.231,0.167,0.198,0.223,119,1752
578,0.716,0.528,0.076,0.021,0.277,436,1576
579,0.757,0.75,0.076,0.086,0.68,553,605
580,0.758,0.169,0.167,0.064,0.72,121,785
581,0.768,0.961,0.091,0.371,0.78,90,447
582,0.68,0.508,0.409,0.043,0.168,350,683
583,0.756,0.297,0.076,0.15,0.48,152,311
584,0.685,0.958,0.045,0.061,0.072,58,635
585,0.686,0.125,0.061,0.096,0.066,522,1574
586,0.784,0.067,0.242,0.213,0.578,271,1058
587,0.687,0.111,0.212,0.173,0.09,185,645
588,0.761,0.642,0.106,0.204,0.811,754,1530
589,0.729,0.353,0.212,0.043,0.4,24,1663
590,0.678,0.956,0.288,0.021,0.184,647,1222
591,0.765,0.781,0.076,0.152,0.678,123,1965
592,0.769,0.794,0.258,0.203,0.665,634,1460
593,0.776,0.633,0.091,0.328,0.624,242,511
594,0.771,0.344,0.136,0.198,0.586,372,1610
595,0.725,0.364,0.136,0.0,0.393,549,1430
596,0.766,0.864,0.136,0.301,0.795,437,1308
597,0.756,0.486,0.197,0.021,0.521,264,887
598,0.731,0.2,0.303,0.064,0.406,950,1706
599,0.724,0.497,0.303,0.089,0.369,64,1778
600,0.69,0.739,0.061,0.048,0.089,196,1376
601,0.724,0.331,0.258,0.021,0.395,711,1235
602,0.771,0.875,0.288,0.228,0.671,635,1570
603,0.728,0.319,0.318,0.061,0.404,418,1890
604,0.806,0.242,0.197,0.319,0.487,231,962
605,0.806,0.147,0.106,0.259,0.53,267,1149
606,0.724,0.303,0.288,0.048,0.401,346,840
607,0.719,0.336,0.242,0.021,0.393,53,523
608,0.807,0.039,0.197,0.269,0.518,602,1300
609,0.757,0.947,0.136,0.334,0.679,503,1348
610,0.715,0.358,0.182,0.0,0.387,668,795
611,0.765,0.114,0.212,0.24,0.647,394,1638
612,0.716,0.253,0.227,0.03,0.392,374,1153
613,0.714,0.303,0.288,0.043,0.389,50,200
614,0.711,0.339,0.288,0.021,0.385,194,1289
615,0.709,0.383,0.273,0.0,0.381,553,1756
616,0.766,0.433,0.152,0.215,0.605,906,1386
617,0.69,0.383,0.348,0.021,0.305,40,691
618,0.774,0.192,0.212,0.163,0.604,416,1523
619,0.769,0.2,0.212,0.258,0.634,734,1569
620,0.69,0.328,0.318,0.021,0.311,602,1404
621,0.674,0.178,0.152,0.177,0.039,73,1431
622,0.763,0.197,0.242,0.357,0.654,480,858
623,0.705,0.25,0.273,0.021,0.382,976,1824
624,0.699,0.467,0.288,0.021,0.366,790,821
625,0.692,0.086,0.045,0.245,0.098,448,1802
626,0.714,0.286,0.303,0.077,0.395,40,1007
627,0.705,0.281,0.273,0.03,0.384,440,461
628,0.696,0.394,0.152,0.0,0.364,356,368
629,0.694,0.331,0.076,0.0,0.349,445,1045
630,0.677,0.375,0.091,0.195,0.045,312,658
631,0.701,0.381,0.273,0.043,0.381,440,1228
632,0.702,0.897,0.364,0.091,0.299,625,1730
633,0.694,0.183,0.045,0.28,0.124,831,1624
634,0.83,0.194,0.121,0.237,0.409,476,1160
635,0.697,0.333,0.106,0.021,0.372,709,1486
636,0.696,0.031,0.03,0.021,0.368,644,1912
637,0.696,0.964,0.091,0.0,0.37,367,644
638,0.703,0.914,0.379,0.091,0.31,419,1401
639,0.717,0.106,0.076,0.061,0.255,752,1442
640,0.699,0.281,0.152,0.0,0.39,179,575
641,0.697,0.097,0.091,0.0,0.387,400,1677
642,0.718,0.019,0.136,0.048,0.257,262,659
643,0.724,0.35,0.364,0.11,0.458,678,1547
644,0.71,0.922,0.409,0.125,0.315,87,949
645,0.78,0.661,0.106,0.319,0.713,10,1183
646,0.768,0.233,0.288,0.089,0.647,904,1819
647,0.721,0.922,0.455,0.183,0.306,266,1617
648,0.721,0.156,0.136,0.136,0.279,491,1747
649,0.719,0.111,0.121,0.096,0.273,810,1412
650,0.721,0.108,0.045,0.043,0.263,65,800
651,0.672,0.019,0.121,0.061,0.047,777,1087
652,0.816,0.333,0.197,0.107,0.483,165,1835
653,0.789,0.958,0.076,0.245,0.579,888,1875
654,0.757,0.211,0.061,0.163,0.69,918,1439
655,0.722,0.144,0.167,0.13,0.282,385,619
656,0.721,0.036,0.121,0.089,0.275,531,1580
657,0.721,0.972,0.136,0.068,0.272,920,1403
658,0.744,0.219,0.136,0.0,0.609,528,1563
659,0.725,0.075,0.03,0.172,0.291,979,1098
660,0.723,0.15,0.152,0.129,0.284,997,1177
661,0.718,0.297,0.167,0.068,0.234,757,1780
662,0.705,0.133,0.106,0.258,0.181,294,953
663,0.716,0.992,0.348,0.144,0.383,26,1295
664,0.78,0.203,0.136,0.472,0.61,307,1434
665,0.766,0.181,0.197,0.344,0.645,983,1264
666,0.816,0.375,0.106,0.048,0.461,409,1258
667,0.728,0.311,0.136,0.0,0.567,393,1443
668,0.729,0.978,0.197,0.163,0.301,166,1011
669,0.831,0.167,0.076,0.408,0.393,150,1206
670,0.75,0.133,0.348,0.107,0.609,421,806
671,0.757,0.814,0.212,0.203,0.731,802,1108
672,0.733,0.978,0.348,0.304,0.359,348,429
673,0.673,0.908,0.106,0.021,0.082,736,1141
674,0.77,0.967,0.152,0.288,0.641,848,1027
675,0.735,0.967,0.394,0.308,0.372,3,349
676,0.728,0.117,0.212,0.215,0.234,740,1032
677,0.696,0.392,0.258,0.021,0.156,366,1066
678,0.677,0.108,0.136,0.03,0.096,629,1028
679,0.686,0.65,0.03,0.231,0.102,949,1913
680,0.691,0.264,0.136,0.387,0.097,343,461
681,0.763,0.847,0.121,0.271,0.735,309,1355
682,0.77,0.944,0.227,0.061,0.665,157,681
683,0.731,0.856,0.076,0.168,0.247,487,1670
684,0.69,0.167,0.167,0.021,0.147,195,1972
685,0.696,0.939,0.152,0.313,0.111,606,748
686,0.804,0.236,0.121,0.375,0.535,512,1543
687,0.786,0.139,0.333,0.38,0.597,904,1932
688,0.695,0.078,0.288,0.043,0.156,918,1665
689,0.745,0.953,0.333,0.381,0.385,916,1968
690,0.726,0.994,0.091,0.31,0.241,797,1545
691,0.767,0.108,0.379,0.251,0.624,299,1933
692,0.749,0.056,0.242,0.308,0.415,240,846
693,0.702,0.014,0.273,0.03,0.175,998,1613
694,0.701,0.025,0.318,0.077,0.165,256,514
695,0.7,0.075,0.333,0.086,0.161,824,1145
696,0.696,0.081,0.348,0.068,0.152,892,1967
697,0.707,0.144,0.258,0.0,0.187,981,1091
698,0.705,0.1,0.258,0.021,0.184,213,1475
699,0.708,0.122,0.197,0.021,0.19,656,861
700,0.706,0.969,0.227,0.048,0.183,458,480
701,0.679,0.036,0.061,0.03,0.115,474,1154
702,0.828,0.231,0.167,0.262,0.415,487,1139
703,0.814,0.294,0.091,0.38,0.506,134,215
704,0.759,0.122,0.242,0.423,0.379,571,1473
705,0.738,0.814,0.333,0.086,0.297,606,1849
706,0.708,0.25,0.076,0.043,0.192,899,1879
707,0.727,0.925,0.303,0.13,0.523,40,1631
708,0.76,0.011,0.182,0.414,0.424,230,1099
709,0.744,0.228,0.212,0.163,0.335,119,1187
710,0.709,0.275,0.197,0.021,0.198,924,1927
711,0.708,0.375,0.015,0.043,0.194,762,1509
712,0.688,0.922,0.197,0.136,0.126,299,1589
713,0.688,0.058,0.197,0.53,0.089,727,1006
714,0.689,0.922,0.197,0.144,0.131,88,1578
715,0.691,0.0,0.152,0.136,0.131,86,817
716,0.744,0.256,0.485,0.156,0.586,949,1504
717,0.774,0.603,0.106,0.319,0.768,488,1910
718,0.757,0.878,0.439,0.31,0.493,728,1786
719,0.705,0.175,0.258,0.173,0.16,389,1298
720,0.695,0.183,0.121,0.392,0.114,931,1846
721,0.69,0.9,0.091,0.441,0.076,611,677
722,0.802,0.136,0.212,0.173,0.587,536,1465
723,0.771,0.106,0.167,0.453,0.461,141,822
724,0.688,0.258,0.182,0.366,0.06,501,1435
725,0.745,0.872,0.394,0.211,0.526,367,1685
726,0.77,0.097,0.061,0.38,0.412,771,1964
727,0.69,0.331,0.152,0.38,0.068,989,1514
728,0.757,0.3,0.106,0.061,0.706,835,1039
729,0.71,0.75,0.182,0.021,0.212,830,1773
730,0.693,0.075,0.348,0.021,0.156,62,508
731,0.699,0.767,0.167,0.086,0.164,47,780
732,0.698,0.156,0.212,0.344,0.122,416,1583
733,0.784,0.156,0.258,0.048,0.618,553,791
734,0.774,0.483,0.273,0.168,0.675,483,807
735,0.741,0.922,0.076,0.347,0.276,428,583
736,0.697,0.111,0.167,0.354,0.112,241,1433
737,0.774,0.469,0.258,0.279,0.65,529,747
738,0.722,0.267,0.258,0.156,0.248,687,1368
739,0.76,0.831,0.379,0.299,0.525,807,1394
740,0.703,0.844,0.106,0.136,0.161,946,1083
741,0.766,0.444,0.197,0.279,0.423,829,1927
742,0.713,0.189,0.106,0.021,0.235,523,1386
743,0.789,0.158,0.242,0.077,0.603,700,1682
744,0.705,0.144,0.152,0.266,0.114,769,1645
745,0.716,0.211,0.106,0.231,0.202,450,1795
746,0.786,0.169,0.258,0.152,0.608,564,849
747,0.714,0.639,0.212,0.125,0.196,389,1470
748,0.806,0.072,0.106,0.021,0.555,319,876
749,0.761,0.278,0.197,0.215,0.659,176,1820
750,0.745,0.919,0.227,0.198,0.352,597,929
751,0.746,0.758,0.303,0.096,0.574,484,1752
752,0.74,0.183,0.212,0.266,0.293,190,857
753,0.771,0.586,0.106,0.364,0.506,592,1855
754,0.712,0.025,0.091,0.107,0.194,628,988
755,0.701,0.131,0.121,0.228,0.094,800,1827
756,0.797,0.275,0.303,0.155,0.581,553,1896
757,0.76,0.258,0.136,0.089,0.683,945,1158
758,0.749,0.897,0.364,0.198,0.366,201,634
759,0.815,0.236,0.136,0.137,0.528,174,1173
760,0.687,0.178,0.136,0.091,0.047,517,654
761,0.763,0.472,0.182,0.231,0.64,846,1725
762,0.657,0.3,0.03,0.177,0.033,883,1325
763,0.719,0.028,0.106,0.219,0.238,804,1991
764,0.708,0.119,0.136,0.0,0.22,946,1470
765,0.756,0.633,0.182,0.048,0.699,353,965
766,0.711,0.328,0.273,0.03,0.215,236,1186
767,0.703,0.475,0.091,0.077,0.119,871,1679
768,0.783,0.189,0.121,0.144,0.581,609,1989
769,0.786,0.242,0.182,0.198,0.749,628,1947
770,0.753,0.147,0.394,0.021,0.699,136,395
771,0.743,0.339,0.091,0.173,0.328,984,1602
772,0.658,0.067,0.091,0.086,0.063,448,1619
773,0.75,0.992,0.197,0.043,0.595,897,1441
774,0.752,0.406,0.152,0.317,0.389,239,1248
775,0.8,0.342,0.152,0.228,0.518,322,1076
776,0.799,0.125,0.076,0.183,0.531,268,1790
777,0.758,0.025,0.091,0.183,0.435,999,1055
778,0.71,0.156,0.227,0.116,0.203,972,1595
779,0.806,0.167,0.242,0.228,0.506,939,1798
780,0.761,0.019,0.242,0.048,0.59,30,1174
781,0.755,0.289,0.061,0.28,0.42,204,1303
782,0.696,0.125,0.03,0.0,0.087,126,243
783,0.665,0.122,0.273,0.048,0.096,155,760
784,0.78,0.564,0.242,0.346,0.775,532,1373
785,0.714,0.308,0.091,0.064,0.267,696,1808
786,0.705,0.017,0.076,0.048,0.168,385,485
787,0.7,0.125,0.015,0.043,0.117,169,680
788,0.758,0.228,0.076,0.304,0.431,867,985
789,0.731,0.283,0.197,0.173,0.3,893,1418
790,0.714,0.281,0.167,0.061,0.223,572,1000
791,0.698,0.014,0.182,0.086,0.116,309,1657
792,0.693,0.956,0.106,0.168,0.088,59,1316
793,0.824,0.231,0.091,0.219,0.451,490,521
794,0.733,0.211,0.197,0.168,0.305,378,469
795,0.706,0.264,0.121,0.0,0.209,761,918
796,0.767,0.269,0.303,0.107,0.511,593,753
797,0.762,0.244,0.106,0.245,0.454,904,1514
798,0.716,0.503,0.152,0.03,0.297,933,1859
799,0.716,0.411,0.091,0.125,0.255,436,1942
800,0.77,0.894,0.333,0.258,0.656,879,1249
801,0.776,0.986,0.121,0.048,0.575,668,1309
802,0.654,0.222,0.106,0.048,0.099,60,100
803,0.713,0.167,0.061,0.0,0.303,491,1130
804,0.711,0.958,0.106,0.021,0.224,779,1267
805,0.699,0.042,0.106,0.204,0.115,286,1329
806,0.776,0.961,0.152,0.215,0.655,99,1432
807,0.77,0.0,0.242,0.15,0.59,699,1341
808,0.76,0.083,0.212,0.28,0.432,530,672
809,0.743,0.522,0.03,0.077,0.368,423,1970
810,0.771,0.7,0.045,0.152,0.754,839,1320
811,0.758,0.186,0.182,0.232,0.429,241,1551
812,0.74,0.814,0.136,0.03,0.387,298,793
813,0.705,0.35,0.167,0.198,0.153,958,966
814,0.68,0.303,0.212,0.091,0.128,907,1609
815,0.774,0.25,0.136,0.211,0.615,685,1715
816,0.754,0.214,0.152,0.086,0.669,297,1411
817,0.755,0.361,0.455,0.077,0.771,99,1414
818,0.721,0.992,0.212,0.061,0.328,531,690
819,0.74,0.939,0.106,0.0,0.772,298,537
820,0.74,0.006,0.212,0.0,0.768,613,751
821,0.777,0.875,0.076,0.021,0.597,825,1287
822,0.817,0.181,0.136,0.086,0.411,431,673
823,0.763,0.211,0.152,0.125,0.638,210,1611
824,0.731,0.175,0.212,0.021,0.351,798,1556
825,0.778,0.461,0.061,0.185,0.659,162,1121
826,0.785,0.225,0.212,0.061,0.62,428,1104
827,0.788,0.347,0.197,0.231,0.558,30,1054
828,0.746,0.942,0.303,0.021,0.772,925,1057
829,0.718,0.142,0.182,0.086,0.215,533,1294
830,0.708,0.247,0.227,0.417,0.153,43,94
831,0.819,0.172,0.227,0.107,0.405,521,1926
832,0.809,0.261,0.182,0.245,0.498,350,700
833,0.693,0.192,0.212,0.172,0.152,619,647
834,0.722,0.275,0.136,0.021,0.276,818,1481
835,0.659,0.239,0.106,0.177,0.143,244,646
836,0.82,0.153,0.152,0.136,0.403,471,1778
837,0.777,0.419,0.364,0.089,0.582,617,1521
838,0.77,0.103,0.106,0.064,0.596,530,781
839,0.741,0.314,0.076,0.03,0.405,973,1653
840,0.739,0.119,0.258,0.183,0.365,633,961
841,0.674,0.133,0.167,0.116,0.175,68,1322
842,0.729,0.014,0.136,0.144,0.257,299,1435
843,0.784,0.267,0.106,0.168,0.623,647,983
844,0.766,0.008,0.197,0.03,0.594,26,1901
845,0.744,0.903,0.227,0.086,0.407,709,910
846,0.795,0.369,0.167,0.173,0.491,236,1277
847,0.753,0.689,0.045,0.068,0.683,270,846
848,0.778,0.047,0.091,0.231,0.552,517,1006
849,0.703,0.2,0.182,0.28,0.19,528,776
850,0.791,0.2,0.152,0.089,0.497,462,1171
851,0.747,0.103,0.152,0.0,0.792,575,1290
852,0.768,0.3,0.136,0.107,0.54,301,640
853,0.716,0.992,0.136,0.471,0.215,815,1388
854,0.788,0.4,0.182,0.043,0.488,699,1629
855,0.773,0.367,0.167,0.11,0.557,677,785
856,0.801,0.364,0.212,0.089,0.459,943,1399
857,0.78,0.989,0.242,0.03,0.523,360,1003
858,0.752,0.183,0.258,0.03,0.795,238,1382
859,0.781,0.65,0.318,0.204,0.763,650,1477
860,0.751,0.706,0.106,0.021,0.691,749,1906
861,0.751,0.317,0.045,0.043,0.695,862,1739
862,0.735,0.089,0.227,0.177,0.267,457,1577
863,0.721,0.267,0.076,0.417,0.227,742,1531
864,0.751,0.767,0.106,0.021,0.69,759,1275
865,0.751,0.978,0.045,0.043,0.694,758,1636
866,0.736,0.894,0.212,0.061,0.334,414,1469
867,0.726,0.253,0.167,0.387,0.239,407,845
868,0.749,0.811,0.121,0.0,0.685,532,1406
869,0.752,0.95,0.045,0.048,0.697,896,1122
870,0.74,0.108,0.152,0.251,0.296,249,777
871,0.784,0.539,0.227,0.245,0.746,457,1049
872,0.767,0.289,0.303,0.107,0.489,82,1099
873,0.76,0.314,0.227,0.061,0.482,200,1581
874,0.751,0.975,0.121,0.021,0.675,533,1787
875,0.753,0.981,0.121,0.03,0.7,716,1922
876,0.757,0.717,0.303,0.077,0.712,409,1850
877,0.79,0.931,0.227,0.096,0.637,418,1857
878,0.713,0.189,0.167,0.299,0.237,45,1841
879,0.753,0.025,0.197,0.021,0.682,123,276
880,0.753,0.242,0.152,0.152,0.431,489,1759
881,0.714,0.225,0.152,0.301,0.241,564,1593
882,0.691,0.175,0.212,0.152,0.165,447,1645
883,0.688,0.217,0.167,0.195,0.157,585,1234
884,0.771,0.983,0.606,0.339,0.579,186,788
885,0.812,0.883,0.197,0.442,0.741,93,1706
886,0.755,0.892,0.242,0.068,0.672,271,1732
887,0.754,0.55,0.03,0.021,0.696,720,1227
888,0.754,0.739,0.061,0.03,0.7,176,1606
889,0.718,0.189,0.045,0.236,0.256,367,1080
890,0.755,0.314,0.167,0.0,0.687,495,652
891,0.753,0.914,0.015,0.021,0.695,628,923
892,0.756,0.778,0.167,0.077,0.708,405,459
893,0.758,0.75,0.152,0.096,0.712,300,1808
894,0.774,0.656,0.318,0.261,0.745,696,1229
895,0.777,0.964,0.197,0.107,0.583,134,1163
896,0.746,0.806,0.182,0.156,0.355,745,1889
897,0.756,0.825,0.076,0.077,0.665,647,1031
898,0.756,0.861,0.167,0.089,0.707,445,1984
899,0.758,0.569,0.076,0.125,0.715,854,1975
900,0.763,0.014,0.167,0.043,0.498,1,336
901,0.756,0.022,0.106,0.061,0.665,322,721
902,0.76,0.742,0.242,0.173,0.723,972,1120
903,0.777,0.975,0.091,0.03,0.538,992,1069
904,0.787,0.961,0.197,0.299,0.515,962,1816
905,0.759,0.208,0.227,0.068,0.66,575,1923
906,0.823,0.972,0.197,0.501,0.755,327,1643
907,0.799,0.219,0.03,0.152,0.656,383,555
908,0.736,0.267,0.076,0.211,0.305,246,1574
909,0.759,0.817,0.091,0.155,0.713,923,1246
910,0.762,0.8,0.152,0.192,0.721,87,816
911,0.804,0.989,0.182,0.096,0.432,647,1171
912,0.802,0.203,0.167,0.137,0.448,521,887
913,0.794,0.164,0.121,0.228,0.472,431,482
914,0.756,0.139,0.167,0.021,0.667,331,1763
915,0.757,0.819,0.136,0.03,0.679,744,1332
916,0.761,0.089,0.182,0.116,0.7,139,1012
917,0.811,0.106,0.167,0.136,0.394,197,272
918,0.758,0.147,0.212,0.0,0.666,43,1993
919,0.759,0.839,0.242,0.061,0.683,687,996
920,0.761,0.061,0.167,0.144,0.703,134,666
921,0.762,0.0,0.076,0.198,0.716,763,1723
922,0.779,0.758,0.212,0.215,0.808,209,1402
923,0.821,0.564,0.091,0.501,0.767,537,1020
924,0.811,0.306,0.182,0.301,0.741,12,1663
925,0.719,0.531,0.136,0.096,0.292,101,1768
926,0.711,0.225,0.167,0.122,0.239,358,1654
927,0.699,0.197,0.212,0.021,0.218,832,1140
928,0.759,0.189,0.167,0.0,0.665,498,926
929,0.762,0.044,0.121,0.155,0.703,946,1727
930,0.763,0.972,0.136,0.173,0.707,403,1865
931,0.807,0.369,0.182,0.15,0.721,120,173
932,0.76,0.317,0.091,0.021,0.661,311,743
933,0.763,0.0,0.152,0.156,0.702,562,1149
934,0.764,0.003,0.227,0.198,0.711,820,1955
935,0.787,0.036,0.136,0.269,0.636,413,882
936,0.765,0.036,0.273,0.13,0.697,434,1448
937,0.766,0.956,0.242,0.173,0.706,496,541
938,0.767,0.994,0.258,0.258,0.723,331,1828
939,0.772,0.183,0.227,0.125,0.547,185,850
940,0.713,0.469,0.061,0.021,0.266,562,1234
941,0.763,0.783,0.197,0.043,0.68,408,1738
942,0.77,0.006,0.258,0.236,0.718,199,768
943,0.818,0.233,0.242,0.328,0.761,927,1768
944,0.793,0.264,0.333,0.325,0.6,138,1242
945,0.771,0.967,0.197,0.215,0.713,494,557
946,0.764,0.219,0.227,0.086,0.772,474,1502
947,0.739,0.897,0.167,0.122,0.409,409,968
948,0.761,0.903,0.061,0.021,0.671,931,1704
949,0.805,0.139,0.167,0.107,0.731,269,621
950,0.714,0.208,0.076,0.021,0.285,707,1176
951,0.691,0.367,0.182,0.03,0.19,784,814
952,0.766,0.072,0.121,0.089,0.645,640,1108
953,0.765,0.053,0.136,0.048,0.654,942,1648
954,0.811,0.122,0.197,0.517,0.507,604,1552
955,0.777,0.094,0.167,0.286,0.724,675,1264
956,0.741,0.347,0.273,0.091,0.385,368,434
957,0.772,0.736,0.152,0.173,0.699,225,1226
958,0.766,0.239,0.136,0.185,0.503,444,1890
959,0.764,0.861,0.121,0.043,0.669,445,510
960,0.815,0.233,0.106,0.219,0.768,900,965
961,0.695,0.272,0.273,0.048,0.199,442,1670
962,0.819,0.961,0.182,0.46,0.539,870,1119
963,0.765,0.15,0.061,0.061,0.648,214,569
964,0.765,0.911,0.136,0.021,0.664,521,1073
965,0.765,0.897,0.136,0.043,0.669,914,1342
966,0.742,0.456,0.136,0.129,0.402,261,1036
967,0.82,0.953,0.197,0.465,0.471,509,1596
968,0.765,0.075,0.076,0.048,0.647,841,1618
969,0.766,0.106,0.076,0.021,0.656,472,1122
970,0.765,0.778,0.061,0.021,0.664,112,559
971,0.766,0.75,0.076,0.043,0.668,405,1853
972,0.766,0.708,0.045,0.064,0.672,417,1246
973,0.826,0.281,0.121,0.392,0.425,372,533
974,0.766,0.075,0.121,0.03,0.647,950,1273
975,0.765,0.233,0.03,0.0,0.66,793,1763
976,0.806,0.272,0.121,0.064,0.754,593,862
977,0.765,0.153,0.061,0.021,0.659,713,826
978,0.765,0.75,0.015,0.03,0.663,482,1850
979,0.809,0.878,0.242,0.091,0.733,669,1816
980,0.74,0.15,0.288,0.129,0.37,38,1950
981,0.712,0.119,0.242,0.043,0.246,134,470
982,0.81,0.303,0.167,0.156,0.773,822,1669
983,0.768,0.833,0.121,0.144,0.684,621,780
984,0.807,0.939,0.121,0.068,0.751,735,1283
985,0.758,0.05,0.152,0.173,0.469,411,1244
986,0.729,0.317,0.121,0.236,0.329,630,833
987,0.688,0.2,0.227,0.13,0.166,920,1001
988,0.794,0.325,0.303,0.096,0.676,469,1762
989,0.781,0.906,0.136,0.021,0.651,493,1596
990,0.756,0.881,0.182,0.077,0.495,709,1589
991,0.786,0.65,0.167,0.211,0.827,908,1169
992,0.813,0.869,0.197,0.155,0.751,566,1732
993,0.803,0.311,0.136,0.195,0.701,845,1248
994,0.786,0.969,0.152,0.091,0.651,889,1022
995,0.773,0.028,0.273,0.021,0.641,292,1400
996,0.786,0.942,0.212,0.068,0.662,589,1486
997,0.751,0.2,0.242,0.228,0.463,863,1754
998,0.738,0.375,0.03,0.0,0.429,158,603
999,0.776,0.108,0.273,0.0,0.628,283,1410
1000,0.724,0.4,0.167,0.185,0.32,743,944
1001,0.766,0.392,0.152,0.089,0.738,977,1378
1002,0.812,0.133,0.106,0.232,0.79,785,1910
1003,0.84,0.561,0.182,0.198,0.502,717,941
1004,0.792,0.239,0.303,0.03,0.603,724,1000
1005,0.772,0.264,0.152,0.221,0.679,429,1801
1006,0.771,0.242,0.121,0.15,0.564,426,1505
1007,0.714,0.125,0.136,0.077,0.244,58,1621
1008,0.819,0.581,0.152,0.211,0.745,717,1174
1009,0.766,0.125,0.136,0.048,0.551,721,792
1010,0.721,0.978,0.03,0.021,0.291,83,1334
1011,0.762,0.25,0.061,0.021,0.755,198,1480
1012,0.763,0.469,0.015,0.043,0.767,743,1650
1013,0.803,0.806,0.318,0.432,0.86,18,1088
1014,0.75,0.908,0.227,0.152,0.441,140,565
1015,0.72,0.042,0.106,0.0,0.278,108,1036
1016,0.673,0.103,0.273,0.156,0.131,643,1321
1017,0.765,0.311,0.106,0.043,0.742,366,563
1018,0.779,0.719,0.242,0.232,0.814,353,1543
1019,0.787,0.978,0.106,0.03,0.667,985,1986
1020,0.807,0.214,0.242,0.021,0.582,132,627
1021,0.799,0.992,0.303,0.091,0.62,997,1996
1022,0.79,0.744,0.273,0.384,0.843,369,488
1023,0.815,0.172,0.061,0.224,0.763,729,918
1024,0.79,0.669,0.03,0.336,0.643,799,1357
1025,0.822,0.039,0.182,0.375,0.808,542,1274
1026,0.792,0.175,0.076,0.231,0.66,523,1465
1027,0.791,0.864,0.212,0.061,0.681,318,1179
1028,0.772,0.961,0.152,0.15,0.564,310,1146
1029,0.733,0.197,0.288,0.089,0.363,740,1943
1030,0.726,0.022,0.227,0.077,0.284,748,1283
1031,0.688,0.247,0.303,0.298,0.154,904,968
1032,0.826,0.469,0.121,0.03,0.523,991,1805
1033,0.805,0.972,0.106,0.064,0.737,906,1091
1034,0.757,0.286,0.273,0.13,0.524,312,1351
1035,0.772,0.242,0.076,0.086,0.721,655,1164
1036,0.821,0.042,0.106,0.292,0.787,650,1003
1037,0.751,0.544,0.091,0.251,0.423,924,1748
1038,0.818,0.667,0.167,0.594,0.861,972,1084
1039,0.729,0.986,0.197,0.068,0.331,561,642
1040,0.835,0.375,0.03,0.266,0.461,432,614
1041,0.797,0.217,0.121,0.236,0.684,617,1358
1042,0.781,0.214,0.379,0.198,0.68,100,269
